	all		همه		0.0015557383446153847
	advanced		پیشرفته		1.334016623076923E-4
	account		حساب		1.566241146153846E-4
	about		درباره		9.436415430769231E-4
	abdul		عبدل		1.678456153846154E-6
	abandoned		متروکه		4.9013538461538464E-6
	aaron		آرون		8.999064615384615E-6
	aamir		عامر		1.153823076923077E-7
	aalborg		آلبورگ		3.138E-7
	aachen		آخن		5.782692307692308E-7
	aage		آگه		4.346846153846154E-8
	aaltonen		آلتونن		1.9763076923076922E-8
	aardvark		کفتار		4.8412E-7
	aardman		آردمن		4.379769230769231E-8
	aarhus		آرهوس		4.5860615384615386E-7
	abad		آباد		1.486853846153846E-7
	aba		عبا		2.0957007692307693E-6
	aarons		آرونز		1.8366230769230768E-7
	aarti		آرتی		4.8671538461538465E-8
	abaco		آباکو		1.7373E-7
	ababa		آبابا		3.9550692307692307E-7
	abacus		چرتکه		7.8236E-7
	abajo		آباخو		9.099153846153846E-8
	abaddon		آبادون		5.640846153846154E-8
	abadan		آبادان		2.9676923076923076E-8
	abadi		آبادی		7.789461538461539E-8
	aban		آبان		4.227538461538461E-8
	abakan		آباکان		1.365E-8
	abandon		رها		2.1138161538461538E-6
	abdelkader		عبدالقادر		2.1396153846153847E-8
	abbe		ابه		2.3364538461538462E-7
	abba		آبا		1.2846869230769231E-6
	abarth		آبارت		5.439230769230769E-8
	abano		آبانو		4.419307692307692E-8
	abaza		آبازا		1.1796153846153846E-8
	abbas		عباس		1.105813846153846E-6
	abbasi		عباسی		5.461923076923077E-8
	abby		ابی		1.5096607692307693E-6
	abbott		آبوت		2.4183792307692307E-6
	abbeville		ابویل		3.751753846153846E-7
	abbreviation		مخفف		1.3029376923076923E-6
	abdal		ابدال		2.0665384615384617E-8
	abd		عبد		7.710653846153846E-7
	abdali		ابدالی		1.0990769230769231E-8
	abdominal		بطنی		2.377036923076923E-6
	abdin		عبدین		1.0306923076923077E-8
	abdicate		واگزار		9.547923076923077E-8
	abdi		عبدی		6.939923076923077E-8
	abdication		گزاری		9.857153846153845E-8
	abdollah		عبدالله		1.0706153846153845E-8
	abdo		عبده		8.041153846153846E-8
	abdomen		شکمش		1.14668E-6
	abduct		ربودن		9.709615384615384E-8
	abdou		عبده		2.7701538461538463E-8
	abdon		آبدون		1.3203076923076923E-8
	abduction		ربودن		9.142384615384615E-7
	ability		توانایی		4.000329923076923E-5
	aberdeen		ابردین		4.354352307692308E-6
	abed		عابد		1.1379461538461539E-7
	abdullah		عبدالله		1.0900753846153847E-6
	abdulla		عبدالله		7.559307692307692E-8
	abdulaziz		عبدالعزیز		7.487769230769231E-8
	abe		آبه		1.8622184615384615E-6
	abdulrahman		عبدالرحمن		1.8244615384615386E-8
	abelian		آبلی		4.0866E-7
	abel		ابل		1.2292192307692308E-6
	abedi		عابدی		1.406E-8
	abelard		آبلار		8.518076923076923E-8
	abeokuta		ابوکاتا		1.443E-8
	abella		ابلا		4.9721538461538464E-8
	aberdare		ابردیر		1.430276923076923E-7
	abid		عابد		7.640461538461538E-8
	abhishek		آبیشک		1.5571615384615385E-7
	abha		ابها		4.3113076923076926E-8
	aberystwyth		آبریستویث		4.906223076923077E-7
	abhay		ابهی		5.146692307692308E-8
	abi		أبی		1.4432384615384615E-6
	abhorrent		مکروه		1.2864230769230769E-7
	abia		آبیا		4.843615384615384E-8
	abidjan		آبیجان		2.494969230769231E-7
	abidin		شاهمیری		2.6693846153846155E-8
	abidine		العابدین		1.0246153846153847E-8
	abigail		ابیگیل		1.234226923076923E-6
	abies		نراد		1.4230923076923077E-7
	abilene		ابیلین		1.134983076923077E-6
	able		توانا		8.414541384615384E-5
	abkhazia		آبخاز		1.568676923076923E-7
	abiogenesis		ناچاریم		5.176769230769231E-8
	abingdon		ابینگدون		6.938176923076923E-7
	abitibi		ابیتیبی		9.157076923076923E-8
	ablative		کاهنده		7.617846153846154E-8
	abla		آبلا		2.383923076923077E-8
	ablaze		مشتعل		2.4699692307692307E-7
	aboriginal		بومیان		5.417555384615384E-6
	abode		سرا		9.588776923076924E-7
	abner		ابنر		3.4255230769230767E-7
	abnegation		فداکار		2.0203846153846155E-8
	abolitionists		الغا		1.0191461538461539E-7
	abolish		برانداختن		7.015884615384615E-7
	abomination		نجاست		3.048E-7
	abortion		سقط		7.228703846153846E-6
	abort		ساقط		1.2076092307692308E-6
	abou		ابو		3.4439E-7
	aboud		عبود		2.3224615384615385E-8
	academic		دانشگاهی		4.222004692307692E-5
	absence		غیاب		1.1293766153846154E-5
	abram		ابرام		4.6987E-7
	above		فراز		1.0914970769230769E-4
	abraham		ابراهیم		4.5344207692307695E-6
	abraded		سائیده		4.2976153846153846E-8
	abrahams		آبراهامز		3.3388846153846155E-7
	abreast		پهلو		5.810707692307692E-7
	abrams		آبرامز		1.1449769230769232E-6
	abramovich		آبراموویچ		6.610692307692308E-8
	abramov		آبراموف		3.2456923076923075E-8
	abrasions		خراشیدگی		1.3306923076923077E-7
	abrar		نیکان		1.533923076923077E-8
	abrasive		ساینده		9.587615384615384E-7
	abrogate		نسخ		1.054476923076923E-7
	abridgement		مجمل		4.416230769230769E-8
	abreu		آبرو		1.9517538461538462E-7
	abril		آبریل		3.3291153846153846E-7
	abscess		آبسه		4.150292307692308E-7
	absalom		ابشالوم		1.8807153846153847E-7
	absecon		آبسکون		1.2519384615384614E-7
	abstract		چکیده		4.3039907692307695E-5
	absolutely		مطلقا		1.601274692307692E-5
	absinthe		ابسنث		4.6319846153846154E-7
	absent		غایب		6.7934923076923075E-6
	absolute		مطلق		1.2460433076923077E-5
	absorb		جذب		1.8293046153846153E-6
	absolutist		زمامداری		8.919153846153846E-8
	absolutism		خودکامگی		9.134923076923077E-8
	absolve		بزداید		1.2789230769230768E-7
	absorption		جذب		4.072864615384615E-6
	abstain		خودداری		6.594346153846154E-7
	abuse		سوءاستفاده		2.789975769230769E-5
	abuja		آبوجا		2.438530769230769E-7
	abu		ابو		4.249246923076923E-6
	abstraction		انتزاع		1.8203592307692307E-6
	abubakar		ابوبکر		4.5435384615384616E-8
	abundance		فراوانی		3.746916153846154E-6
	abul		ابول		8.676076923076923E-8
	abundant		فراوانی		2.647303846153846E-6
	abyss		ورطه		8.864676923076924E-7
	abutilon		ابوتیلون		3.296153846153846E-8
	abuser		فحاش		3.2583384615384615E-7
	abysmal		گردابی		2.9721846153846153E-7
	acacia		اقاقیا		8.036869230769231E-7
	abyssinian		حبشی		9.896615384615385E-8
	abyssal		مغاکی		6.604307692307692E-8
	academia		دانشگاهیان		1.6940653846153847E-6
	accessories		لوازم		1.2229407461538462E-4
	accept		قبول		3.3208791538461536E-5
	acanthaceae		پاخرسیان		2.1245384615384616E-8
	academy		آکادمی		2.2501665384615384E-5
	academics		دانشگاهیان		5.275273846153846E-6
	academician		آکادمیسین		9.476538461538462E-8
	acadiana		اکادیانا		7.707615384615384E-8
	acadia		آکادیا		6.366053846153846E-7
	acalypha		آکالیفا		1.5606153846153846E-8
	accent		آکسان		4.643380769230769E-6
	acceleration		شتاب		3.167957692307692E-6
	acapulco		آکاپولکو		1.2543853846153846E-6
	accelerator		شتابدهنده		2.8363961538461537E-6
	accents		لهجه		3.1708723076923076E-6
	accentor		صعوه		1.3288461538461539E-8
	accenture		اکسنچر		5.133107692307693E-7
	accentual		موکد		1.240076923076923E-8
	accepted		پذیرفت		3.6093846153846156E-5
	acceptable		مقبول		1.1223759230769231E-5
	acceptability		مقبولیت		5.321561538461539E-7
	acceptance		پذیرفتن		2.835763E-5
	accepts		پذیرد		5.1135692307692305E-6
	accepting		پذیرفتن		5.370521538461539E-6
	acceptor		پذیرنده		3.9844538461538464E-7
	accession		الحاق		3.5952284615384615E-6
	accommodation		پذیرایی		4.660754076923077E-5
	accidents		حوادث		6.869881538461539E-6
	accident		حادثه		1.438443076923077E-5
	accessory		همدست		1.4380444615384616E-5
	accidental		تصادفی		3.0107853846153846E-6
	accolade		آکولاد		2.7821615384615387E-7
	accipitridae		قوشیان		1.7652307692307692E-8
	accompanying		همراه		4.370011538461539E-6
	accompanied		همراه		6.246064615384615E-6
	accompany		همراهی		2.645766923076923E-6
	accord		میل		3.872459230769231E-6
	accomplice		همدست		2.4327307692307694E-7
	accordion		آکاردئون		9.389069230769231E-7
	add		افزودن		2.9787056846153847E-4
	action		اکشن		1.2463340846153846E-4
	acid		اسیدی		2.374452846153846E-5
